date_time,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:46:57,,0,0,0,0,0,0
2020-10-0610:46:57,,0,0,0,0,0,0
2020-10-0610:46:58,,0,0,0,0,0,0
2020-10-0610:46:58,,0,0,0,0,0,0
2020-10-0610:46:58,,0,0,0,0,0,0
2020-10-0610:46:59,,0,0,0,0,0,0
2020-10-0610:46:59,,0,0,0,0,0,0
2020-10-0610:46:59,,0,0,0,0,0,0
2020-10-0610:47:00,,0,0,0,0,0,0
2020-10-0610:47:00,,0,0,0,0,0,0
2020-10-0610:47:00,,0,0,0,0,0,0
2020-10-0610:47:01,,0,0,0,0,0,0
2020-10-0610:47:01,,0,0,0,0,0,0
2020-10-0610:47:01,,0,0,0,0,0,0
2020-10-0610:47:02,,0,0,0,0,0,0
2020-10-0610:47:02,,0,0,0,0,0,0
2020-10-0610:47:02,,0,0,0,0,0,0
2020-10-0610:47:03,,0,0,0,0,0,0
2020-10-0610:47:03,,0,0,0,0,0,0
2020-10-0610:47:03,,0,0,0,0,0,0
2020-10-0610:47:04,10,0,0,0,0,0,0
2020-10-0610:47:04,12,0,0,0,0,0,0
2020-10-0610:47:04,1,0,0,0,0,0,0
2020-10-0610:47:05,15,0,0,0,0,0,0
2020-10-0610:47:05,16,0,0,0,0,0,0
2020-10-0610:47:05,,0,0,0,0,0,0
2020-10-0610:47:06,4,0,0,0,0,0,0
2020-10-0610:47:06,27,0,0,0,0,0,0
2020-10-0610:47:06,,0,0,0,0,0,0
2020-10-0610:47:07,,0,0,0,0,0,0
2020-10-0610:47:07,25,0,0,0,0,0,0
2020-10-0610:47:07,,0,0,0,0,0,0
2020-10-0610:47:08,27,0,0,0,0,0,0
2020-10-0610:47:08,28,0,0,0,0,0,0
2020-10-0610:47:08,30,0,0,0,0,0,0
2020-10-0610:47:09,,0,0,0,0,0,0
2020-10-0610:47:09,32,0,0,0,0,0,0
2020-10-0610:47:09,32,0,0,0,0,0,0
2020-10-0610:47:10,,0,0,0,0,0,0
2020-10-0610:47:10,,0,0,0,0,0,0
2020-10-0610:47:10,36,0,0,0,0,0,0
2020-10-0610:47:11,37,0,0,0,0,0,0
2020-10-0610:47:11,38,0,0,0,0,0,0
2020-10-0610:47:11,,0,0,0,0,0,0
2020-10-0610:47:12,40,0,0,0,0,0,0
2020-10-0610:47:12,40,0,0,0,0,0,0
2020-10-0610:47:12,,0,0,0,0,0,0
2020-10-0610:47:13,,0,0,0,0,0,0
2020-10-0610:47:13,40,0,0,0,0,0,0
2020-10-0610:47:13,40,0,0,0,0,0,0
2020-10-0610:47:14,,0,0,0,0,0,0
2020-10-0610:47:14,4,0,0,0,0,0,0
