date_time,condition,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0611:25:04,normal,,1,0,0,1.328512241,0,0
2020-10-0611:25:04,normal,,1,1,0,1.381694915,0,0.02195871761
2020-10-0611:25:04,normal,,1,1,0,1.365423729,0,0.02195871761
2020-10-0611:25:04,normal,,1,1,0,1.467043315,0,0.02195871761
2020-10-0611:25:04,normal,,1,1,0,1.376798493,0,0.06526130874
2020-10-0611:25:05,normal,,1,1,0,1.515404896,0,0.06464646465
2020-10-0611:25:05,normal,,1,1,0,1.588700565,0,0.04295125165
2020-10-0611:25:05,normal,,1,1,0,1.415291902,0,0.04295125165
2020-10-0611:25:05,normal,,1,1,0,1.526629002,0,0.02143170839
2020-10-0611:25:05,normal,,1,0,0,1.574613936,0,0
2020-10-0611:25:06,normal,,1,1,0,1.60693032,0,0.04312692139
2020-10-0611:25:06,normal,,1,1,0,1.934463277,0,0.1061045235
2020-10-0611:25:06,normal,,1,1,0,1.630583804,0,0.1072463768
2020-10-0611:25:06,normal,77,1,1,0,14.71322034,0,12.15344752
2020-10-0611:25:06,normal,,1,1,0,14.4326177,0,11.74650856
2020-10-0611:25:07,normal,91,1,1,0,15.59932203,0,12.58787879
2020-10-0611:25:07,normal,,1,1,0,15.19721281,0,12.39174352
2020-10-0611:25:07,normal,,1,1,0,14.26967985,0,11.98339921
2020-10-0611:25:07,normal,,1,1,0,14.20256121,0,11.93544137
2020-10-0611:25:07,normal,97,1,1,0.1309227872,13.81514124,0,11.59727712
2020-10-0611:25:08,normal,,1,1,0.1288888889,13.68399247,0,11.32490119
2020-10-0611:25:08,normal,,1,1,0.1637664783,13.84783427,0,11.16873079
2020-10-0611:25:08,normal,,1,1,0.1637664783,13.32497175,0,11.11840141
2020-10-0611:25:08,normal,,1,1,0.1637664783,13.7439548,0,11.05085639
2020-10-0611:25:08,normal,,1,1,0,13.20286252,0,11.30522617
2020-10-0611:25:09,normal,,1,1,0.176873823,13.78410546,0,11.37760211
2020-10-0611:25:09,normal,,1,1,0.1755178908,14.33145009,0,11.876065
2020-10-0611:25:09,normal,,1,1,0.1936723164,13.84851224,0,11.38366271
2020-10-0611:25:09,normal,,1,1,0.1358945386,13.88248588,0,11.14721124
2020-10-0611:25:09,normal,,1,1,0,14.1786064,0,11.78102767
2020-10-0611:25:10,normal,,1,1,0,13.83118644,0,11.5201581
2020-10-0611:25:10,normal,,1,1,0,13.74455744,0,11.33640755
2020-10-0611:25:10,normal,,1,1,0,13.51088512,0,11.21800615
2020-10-0611:25:10,normal,,1,1,0,13.59517891,0,11.44286342
2020-10-0611:25:10,normal,,1,1,0.1309227872,14.59676083,0,11.86034256
2020-10-0611:25:11,normal,91,1,1,0,14.21800377,0,11.73737374
2020-10-0611:25:11,normal,97,1,1,0,13.76316384,0,11.50531401
2020-10-0611:25:11,normal,0,1,1,0,13.66975518,0,11.48045674
2020-10-0611:25:11,normal,,1,1,0,14.00436911,0,11.49029425
