date,time,speed,ldws,lkas
2020-10-23,15:19:50,,1,1
2020-10-23,15:19:51,112,1,1
2020-10-23,15:19:52,113,1,1
2020-10-23,15:19:53,113,1,1
2020-10-23,15:19:54,112,1,1
2020-10-23,15:19:55,111,1,1
2020-10-23,15:19:56,110,1,1
2020-10-23,15:19:57,109,1,1
2020-10-23,15:19:58,109,1,1
2020-10-23,15:19:59,107,1,1
2020-10-23,15:20:00,107,1,1
2020-10-23,15:20:01,106,1,1
2020-10-23,15:20:02,105,1,1
2020-10-23,15:20:03,104,1,1
2020-10-23,15:20:04,104,1,1
2020-10-23,15:20:05,103,1,1
2020-10-23,15:20:06,103,1,1
2020-10-23,15:20:07,102,1,1
2020-10-23,15:20:08,102,1,1
2020-10-23,15:20:09,101,1,1
2020-10-23,15:20:10,100,1,1
2020-10-23,15:20:11,99,1,1
2020-10-23,15:20:12,98,1,1
2020-10-23,15:20:13,97,1,1
2020-10-23,15:20:14,96,1,1
2020-10-23,15:20:15,95,1,1
2020-10-23,15:20:16,,1,1
2020-10-23,15:20:17,,1,1
2020-10-23,15:20:18,,1,1
2020-10-23,15:20:19,,1,1
2020-10-23,15:20:20,,1,1
2020-10-23,15:20:21,,1,0
2020-10-23,15:20:22,,1,0
2020-10-23,15:20:23,,1,0
2020-10-23,15:20:24,,1,0
2020-10-23,15:20:25,97,1,1
2020-10-23,15:20:26,96,1,1
2020-10-23,15:20:27,96,1,1
2020-10-23,15:20:28,95,1,1
2020-10-23,15:20:29,95,1,1
2020-10-23,15:20:30,94,1,1
2020-10-23,15:20:31,94,1,1
2020-10-23,15:20:32,93,1,1
2020-10-23,15:20:33,93,1,1
2020-10-23,15:20:34,93,1,1
2020-10-23,15:20:35,94,1,1
2020-10-23,15:20:36,94,1,1
2020-10-23,15:20:37,94,1,1
2020-10-23,15:20:38,94,1,1
2020-10-23,15:20:39,94,1,1
2020-10-23,15:20:40,93,1,1
2020-10-23,15:20:41,92,1,1
2020-10-23,15:20:42,91,1,1
2020-10-23,15:20:43,90,1,1
2020-10-23,15:20:44,89,1,1
2020-10-23,15:20:45,88,1,1
2020-10-23,15:20:46,78,1,1
2020-10-23,15:20:47,78,1,1
2020-10-23,15:20:48,87,1,1
2020-10-23,15:20:49,78,1,1
2020-10-23,15:20:50,87,1,1
2020-10-23,15:20:51,87,1,1
2020-10-23,15:20:52,87,1,1
2020-10-23,15:20:53,88,1,1
2020-10-23,15:20:54,89,1,1
2020-10-23,15:20:55,88,1,1
2020-10-23,15:20:56,87,1,1
2020-10-23,15:20:57,85,1,1
2020-10-23,15:20:58,84,1,1
2020-10-23,15:20:59,83,1,1
2020-10-23,15:21:00,83,1,1
2020-10-23,15:21:01,84,1,1
2020-10-23,15:21:02,84,1,1
2020-10-23,15:21:03,84,1,1
2020-10-23,15:21:04,84,1,1
2020-10-23,15:21:05,84,1,1
2020-10-23,15:21:06,84,1,1
2020-10-23,15:21:07,85,1,1
2020-10-23,15:21:08,85,1,1
2020-10-23,15:21:09,85,1,1
2020-10-23,15:21:10,86,1,1
2020-10-23,15:21:11,87,1,1
2020-10-23,15:21:12,88,1,1
2020-10-23,15:21:13,89,1,1
2020-10-23,15:21:14,89,1,1
2020-10-23,15:21:15,88,1,1
2020-10-23,15:21:16,87,1,1
2020-10-23,15:21:17,85,1,1
2020-10-23,15:21:18,84,1,1
2020-10-23,15:21:19,82,1,1
2020-10-23,15:21:20,80,1,1
2020-10-23,15:21:21,79,1,1
2020-10-23,15:21:22,77,1,1
2020-10-23,15:21:23,76,1,1
2020-10-23,15:21:24,74,1,1
2020-10-23,15:21:25,70,1,1
2020-10-23,15:21:26,67,1,1
2020-10-23,15:21:27,65,1,1
2020-10-23,15:21:28,64,1,1
2020-10-23,15:21:29,62,1,1
2020-10-23,15:21:30,63,1,1
2020-10-23,15:21:31,66,1,1
2020-10-23,15:21:32,70,1,1
2020-10-23,15:21:33,75,1,1
2020-10-23,15:21:34,80,1,1
2020-10-23,15:21:35,88,1,1
2020-10-23,15:21:36,86,1,1
2020-10-23,15:21:37,86,1,1
2020-10-23,15:21:38,85,1,1
2020-10-23,15:21:39,84,1,1
2020-10-23,15:21:40,82,1,1
2020-10-23,15:21:41,83,1,1
