date,time,speed,lane,auto
2020-10-06,,,1,0
2020-10-06,,,1,0
2020-10-06,,,1,0
2020-10-06,,,1,0
2020-10-06,,,1,0
2020-10-06,,4,1,0
2020-10-06,,4,1,0
2020-10-06,11:25:17,,1,0
2020-10-06,11:25:17,,1,0
2020-10-06,11:25:17,,1,0
2020-10-06,11:25:17,,1,0
2020-10-06,11:25:17,,1,0
2020-10-06,11:25:17,,0,0
2020-10-06,11:25:17,,0,0
2020-10-06,11:25:17,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,4,0,0
2020-10-06,11:25:18,2,0,0
2020-10-06,11:25:18,2,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,4,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,12,0,0
2020-10-06,11:25:18,90,0,0
2020-10-06,11:25:18,90,0,0
2020-10-06,11:25:18,90,0,0
2020-10-06,11:25:18,90,0,0
2020-10-06,11:25:18,90,0,0
2020-10-06,11:25:18,1,0,0
2020-10-06,11:25:18,47,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,45,0,0
2020-10-06,11:25:18,45,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,45,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:18,,0,0
2020-10-06,11:25:19,42,0,0
2020-10-06,11:25:19,42,0,0
2020-10-06,11:25:19,42,0,0
2020-10-06,11:25:19,42,0,0
2020-10-06,11:25:19,42,0,0
2020-10-06,11:25:19,42,0,0
2020-10-06,11:25:19,,0,0
2020-10-06,11:25:19,40,0,0
2020-10-06,11:25:19,40,0,0
2020-10-06,11:25:19,40,0,0
2020-10-06,11:25:19,40,0,0
2020-10-06,11:25:19,40,0,0
2020-10-06,11:25:19,40,0,0
2020-10-06,11:25:19,40,0,0
2020-10-06,11:25:19,1,0,0
2020-10-06,11:25:19,37,0,0
2020-10-06,11:25:19,37,0,0
2020-10-06,11:25:19,,0,0
2020-10-06,11:25:19,,0,0
